,Joy,Anger,Frequency,RGR,AOBC
1/1/12,0.6736,0.520495,0.019607843,39.65,5.14
3/1/12,0.57579325,0.54350925,0.047916667,49.1,7.75
4/1/12,0.6071075,0.548599,0.034705882,57.07,8.25
6/1/12,0.648821,0.693434,0.0625,40.15,8.305
7/1/12,0.584776667,0.568910417,0.093526786,49.43,10.1
8/1/12,0.583217,0.5665525,0.018135559,43.3,8.04
9/1/12,0.644070833,0.557402,0.019345238,49.49,11.015
10/1/12,0.595159,0.62753,0.012164975,47.23,9.59
2/1/13,0.5429285,0.5462275,0.031818182,54.61,9.545
3/1/13,0.5492245,0.609292,0.048780488,50.73,9
4/1/13,0.554687333,0.560095833,0.029366243,51.27,8.78
5/1/13,0.5503335,0.56173225,0.018567639,50.28,9.11
6/1/13,0.5751825,0.584403,0.01728763,48.04,9.98
7/1/13,0.5685705,0.548754,0.023541124,50.87,11.84
9/1/13,0.585254,0.56163,0.014492754,62.63,10.99
10/1/13,0.5684615,0.5343995,0.020833333,65.41,10.79
11/1/13,0.507462,0.531491,0.011235955,76.93,11.82
2/1/14,0.5999465,0.542692,0.052773687,63.74,11.5
3/1/14,0.551493,0.575758,0.033333333,59.8,14.62
5/1/14,0.557526,0.5462275,0.03030303,60.62,15.88
7/1/14,0.5951565,0.530305,0.015625,49.96,12.35
9/1/14,0.6223905,0.53804775,0.022906404,48.69,9.44
10/1/14,0.542221,0.553793,0.010526316,41.68,10.16
11/1/14,0.570351,0.578439,0.020408163,38.09,9.97
2/1/15,0.58151025,0.5589825,0.020381526,51.96,13.53
3/1/15,0.511777,0.607532,0.05,49.63,12.73
4/1/15,0.520156,0.573589,0.046511628,54.81,14.865
5/1/15,0.561211375,0.586554,0.043040293,53.74,14.71
6/1/15,0.5347625,0.603428333,0.098873592,57.45,16.59
8/1/15,0.725361,0.525686,0.014259259,62.89,18.08
9/1/15,0.585943182,0.565644417,0.062797619,58.69,16.88
11/1/15,0.59752,0.526777,0.023255814,52.1,18.34
1/1/16,0.513697,0.542048,0.022727273,58.85,21.56
2/1/16,0.717024,0.553028,0.020833333,70.31,25.36
3/1/16,0.575809,0.521067,0.02173913,68.38,26.62
4/1/16,0.558427,0.543747,0.041666667,64.03,21.83
5/1/16,0.56971653,0.553029267,0.121014493,66.23,24.37
6/1/16,0.55124675,0.54797375,0.031543052,64.01,27.18
8/1/16,0.5687679,0.56402785,0.026936879,61.29,28.15
9/1/16,0.5509028,0.5476272,0.032894737,57.76,26.59
10/1/16,0.656181,0.578611,0.018518519,61.5,26.43
11/1/16,0.51531,0.524623,0.020833333,51.4,23.33
2/1/17,0.622853,0.530305,0.027777778,49.85,19.44
3/1/17,0.604325,0.56130125,0.016418106,53.55,19.81
4/1/17,0.647724,0.577936,0.018181818,60.45,22.15
5/1/17,0.537863,0.5203705,0.024242424,63.7,22.65
6/1/17,0.556210567,0.544323622,0.035014797,62.15,22.16
7/1/17,0.595602,0.517867,0.018867925,57.6,20.67
8/1/17,0.59143875,0.52769,0.039676425,45.8,16.32
9/1/17,0.544706,0.55891525,0.019772257,51.7,15.25
11/1/17,0.617328,0.614893,0.052631579,54.75,14.03
1/1/18,0.609934583,0.54232581,0.020670533,52.95,11.93
